【 2017-10-30 19:12:19 】打中炸弹check:v74238, 23, 分:20000.00,倍数200, 子弹:100
【 2017-11-06 00:29:37 】打中炸弹check:68990578, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:38 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:38 】打中炸弹check:ifbt001959, 30, 分:0.00,倍数0, 子弹:200
【 2017-11-06 00:29:38 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:38 】打中炸弹check:1345545734, 30, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:38 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:38 】打中炸弹check:1345545734, 30, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:38 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:38 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:39 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:39 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:39 】打中炸弹check:1345545734, 30, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:39 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:39 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:39 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:39 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:39 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:39 】打中炸弹check:1345545734, 30, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:39 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:39 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:40 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:40 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:40 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:40 】打中炸弹check:1345545734, 30, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:40 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:40 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:40 】打中炸弹check:1345545734, 30, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:40 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:40 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:40 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:40 】打中炸弹check:1345545734, 30, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:40 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:40 】打中炸弹check:1345545734, 37, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:40 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:41 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:41 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:41 】打中炸弹check:1345545734, 37, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:41 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:41 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:41 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:41 】打中炸弹check:1345545734, 37, 分:0.00,倍数0, 子弹:700
【 2017-11-06 00:29:41 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:41 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:41 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:42 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:42 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:42 】打中炸弹check:1345545734, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:42 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:42 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:42 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:42 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:42 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:42 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:42 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:43 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:43 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:43 】打中炸弹check:46458886, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:43 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:43 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:43 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:43 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:43 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:43 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:43 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:44 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:44 】打中炸弹check:46458886, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:44 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:44 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:44 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:44 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:44 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:44 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:44 】打中炸弹check:1345545734, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:44 】打中炸弹check:v74238, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:44 】打中炸弹check:68990578, 30, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:44 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:45 】打中炸弹check:sdg754, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:45 】打中炸弹check:68990578, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:45 】打中炸弹check:1345545734, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:45 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:45 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:45 】打中炸弹check:sdg754, 37, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:45 】打中炸弹check:1345545734, 37, 分:0.00,倍数0, 子弹:600
【 2017-11-06 00:29:46 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:47 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:47 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:47 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:48 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:48 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:48 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:49 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:49 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:49 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:50 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:50 】打中炸弹check:v74238, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:50 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:50 】打中炸弹check:v74238, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:51 】打中炸弹check:v74238, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:51 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:51 】打中炸弹check:v74238, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:51 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:51 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:51 】打中炸弹check:v74238, 37, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:52 】打中炸弹check:sdg754, 30, 分:0.00,倍数0, 子弹:300
【 2017-11-06 00:29:52 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:52 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:53 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:53 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:53 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:54 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:54 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:55 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:56 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:56 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:56 】打中炸弹check:1345545734, 23, 分:120000.00,倍数200, 子弹:600
【 2017-11-06 00:29:56 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:57 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:57 】打中炸弹check:1345545734, 23, 分:120000.00,倍数200, 子弹:600
【 2017-11-06 00:29:57 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:57 】打中炸弹check:1345545734, 23, 分:120000.00,倍数200, 子弹:600
【 2017-11-06 00:29:58 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:58 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:29:58 】打中炸弹check:ahao888, 30, 分:0.00,倍数0, 子弹:100
【 2017-11-06 00:30:08 】打中炸弹check:sdg754, 23, 分:60000.00,倍数200, 子弹:300
【 2017-11-06 00:30:08 】打中炸弹check:68990578, 23, 分:140000.00,倍数200, 子弹:700
【 2017-11-06 00:30:09 】打中炸弹check:68990578, 23, 分:140000.00,倍数200, 子弹:700
【 2017-11-06 00:30:09 】打中炸弹check:ifbt001959, 22, 分:20000.00,倍数100, 子弹:200
【 2017-11-06 00:30:11 】打中炸弹check:0155874, 23, 分:80000.00,倍数200, 子弹:400
【 2017-11-06 00:30:11 】打中炸弹check:0155874, 23, 分:80000.00,倍数200, 子弹:400
【 2017-11-06 00:30:11 】打中炸弹check:0155874, 23, 分:80000.00,倍数200, 子弹:400
【 2017-11-06 00:30:12 】打中炸弹check:0155874, 23, 分:80000.00,倍数200, 子弹:400
【 2017-11-06 00:30:12 】打中炸弹check:0155874, 23, 分:80000.00,倍数200, 子弹:400
【 2017-11-06 00:30:13 】打中炸弹check:46458886, 23, 分:120000.00,倍数200, 子弹:600
【 2017-11-06 00:30:13 】打中炸弹check:0155874, 23, 分:80000.00,倍数200, 子弹:400
【 2017-11-06 00:30:13 】打中炸弹check:0155874, 23, 分:80000.00,倍数200, 子弹:400
【 2017-11-06 00:30:14 】打中炸弹check:0155874, 23, 分:80000.00,倍数200, 子弹:400
【 2017-11-06 01:04:26 】打中炸弹check:1345545734, 33, 分:0.00,倍数0, 子弹:600
